date,open,high,low,close,volume,signal,ma_20,diff,distance,yearly_high,yearly_low,top_5
2018-04-29,8408.969067382804,9325.62890625,9325.62890625,9325.62890625,3006508032.0,0,,,916.6598388671955,9325.62890625,,0
2018-04-30,8527.412719726555,9198.189453125,9198.189453125,9198.189453125,2827554816.0,0,,,670.7767333984448,9198.189453125,,1
2018-05-01,8632.377001953118,9024.3876953125,9024.3876953125,9024.3876953125,2508704512.0,0,,,392.01069335938155,9024.3876953125,,1
2018-05-02,8696.689819335934,9122.6533203125,9122.6533203125,9122.6533203125,2661071360.0,0,,,425.96350097656614,9122.6533203125,,0
2018-05-03,8781.95891113281,9551.134765625,9551.134765625,9551.134765625,2179558912.0,0,,,769.1758544921904,9551.134765625,,0
2018-05-04,8868.79982910156,9634.5380859375,9634.5380859375,9634.5380859375,1228125440.0,0,,,765.7382568359408,9634.5380859375,,0
2018-05-05,8944.208666992185,9766.244140625,9766.244140625,9766.244140625,2695999487.9999995,0,,,822.0354736328154,9766.244140625,,0
2018-05-06,9021.852319335934,9583.8720703125,9583.8720703125,9583.8720703125,2617990912.0,0,,,562.0197509765658,9583.8720703125,,0
2018-05-07,9093.583764648434,9308.2646484375,9308.2646484375,9308.2646484375,2626417664.0,0,,,214.68088378906577,9308.2646484375,,1
2018-05-08,9146.188720703125,9149.517578125,9149.517578125,9149.517578125,2767085824.0,0,,,3.328857421875,9149.517578125,,1
2018-05-09,9194.763671875,9248.9599609375,9248.9599609375,9248.9599609375,2455200512.0,0,,,54.1962890625,9248.9599609375,,0
2018-05-10,9218.28818359375,8969.9404296875,8969.9404296875,8969.9404296875,2363841280.0,0,,,-248.34775390624964,8969.9404296875,,1
2018-05-11,9194.644775390625,8405.560546875,8405.560546875,8405.560546875,2359598336.0,0,,,-789.084228515625,8405.560546875,,1
2018-05-12,9180.223193359376,8480.580078125,8480.580078125,8480.580078125,3726075392.0,0,,,-699.6431152343757,8480.580078125,,0
2018-05-13,9170.3529296875,8683.986328125,8683.986328125,8683.986328125,2995955200.0,0,,,-486.36660156250036,8683.986328125,,0
2018-05-14,9119.377099609375,8696.9736328125,8696.9736328125,8696.9736328125,2283320832.0,0,,,-422.40346679687536,8696.9736328125,,0
2018-05-15,9101.784423828125,8473.3486328125,8473.3486328125,8473.3486328125,3143239423.9999995,0,,,-628.435791015625,8473.3486328125,,0
2018-05-16,9057.847265625,8343.125,8343.125,8343.125,2586241536.0,0,,,-714.7222656249996,8343.125,,0
2018-05-17,9013.63088378906,8056.0532226562,8056.0532226562,8056.0532226562,2772906240.0000005,-1,,,-957.5776611328592,8056.0532226562,,1
2018-05-18,8961.289184570309,8202.8251953125,8202.8251953125,8202.8251953125,2173653760.0,0,,,-758.4639892578089,8202.8251953125,,0
2018-05-19,8904.03908691406,8180.626953125,8180.626953125,8180.626953125,2127912832.0,0,,,-723.4121337890592,8180.626953125,,0
2018-05-20,8866.292602539059,8443.259765625,8443.259765625,8443.259765625,1672351872.0,0,,,-423.03283691405886,8443.259765625,,0
2018-05-21,8832.823022460934,8354.99609375,8354.99609375,8354.99609375,1660868736.0,0,,,-477.8269287109342,8354.99609375,,0
2018-05-22,8777.15532226562,8009.2993164062,8009.2993164062,8009.2993164062,1711697920.0,0,,,-767.8560058594203,8009.2993164062,,0
2018-05-23,8677.41437988281,7556.3159179688,7556.3159179688,7556.3159179688,1895031424.0,0,,,-1121.09846191401,7556.3159179688,,1
2018-05-24,8573.859252929684,7563.435546875,7563.435546875,7563.435546875,2777184768.0,0,,,-1010.4237060546839,7563.435546875,,1
2018-05-25,8459.14816894531,7472.0224609375,7472.0224609375,7472.0224609375,2602938624.0,0,,,-987.1257080078103,7472.0224609375,,0
2018-05-26,8346.398144531246,7328.8715820312,7328.8715820312,7328.8715820312,1959178240.0,0,,,-1017.5265625000457,7328.8715820312,,1
